brand, product_price, product_name, shipping_price
ASUS,1096.99,ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| All-aluminum Shroud| Reinforced Frame| GPU Tweak II),0
NVIDIA,1249,GeForce RTX 2070 Founders Edition 8GB GDDR6 PIC Express 3.1 Graphic Card – Turing GPU Architecture/Ray Tracing DLSS/1710 MHz/14 Gbps Memory Speed/4K HDR@60fps,0
yeston,1349,Yeston Radeon RX6800 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible graphics card,0
yeston,159,Yeston Radeon RX550 2GB GDDR5 1071MHz 640processors PCIExpress 3.0 DirectX12 Single Slot 4*HDMI compatible graphics card of Desktop,0
GIGABYTE,2189,GIGABYTE  GV-N3080TEAGLE-12GD RTX 3080Ti 12G Video Card  PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop Graphics Cards,4.86
Biostar,275,Biostar Radeon RX 560 4GB GDDR5 128-Bit DirectX 12 PCI Express 3.0 DVI-D Dual Link| HDMI| DisplayPort and Dual Cooling Fan Gaming Edition VA5615RF41-TBVRA-BS2,3.94
Corn Electronics,64.99,CORN AMD Radeon HD6450 2GB 64Bit GDDR3 Graphic Card Video Card GPU DirectX 11 PCI Express 2.1 16X DVI-D/VGA/HDMI,0
GIGABYTE,999.27,GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD (REV 2.0) LHR Video Card,49.99
MSI,1221.7,MSI Suprim GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3070 Suprim X 8G LHR,0
XFX,1699.99,XFX SPEEDSTER MERC319 AMD Radeon RX 6900XT LIMITED BLACK Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2| RX-69XTACSD9,4.99
ASUS,102.49,ASUS NVIDIA GeForce GT 710 Graphics Card (PCIe 2.0| 2GB GDDR5 Memory| 4X HDMI Ports| Single-Slot Design| Passive Cooling),0
ASUS,709,ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING),4.49
GIGABYTE,815.25,GIGABYTE GeForce RTX 3060 EAGLE OC 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE OC-12GD Video Card,49.99
GIGABYTE,556.48,GIGABYTE GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR6| GV-N165SWF2OC-4GD Video Card,0
GIGABYTE,3799,GIGABYTE AORUS RTX 3090 GAMING BOX eGPU| WATERFORCE All-in-One Cooling System| Thunderbolt 3| GV-N3090IXEB-24GD External Graphics Card,0
NULL,58.99,LISM GT730 2GB 64Bit DDR3 Graphic Card Video Card GPU DirectX 11 PCI Express 1.1 16X DVI/VGA/HDMI,0
MSI,1674.85,MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,0
PNY Technologies  Inc.,940,PNY GeForce RTX 3060 12GB UPRISING Dual Fan Graphics card |VCG306012DFMPB,0
yeston,149,Yeston GT730 4GB GDDR3  128bit  PCIExpress 2.0 DirectX11 Single Slot 4*HDMI compatible graphics card of Desktop,0
ASUS,381,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card (PH-GTX1650-O4G),0
DELL,129.99,DELL Precision M6700 M6800 Quadro K4100m 4GB Video Graphics Card WG3YY 0WG3YY CN-00WG3YY,0
EVGA,698.99,EVGA GeForce GTX 970 04G-P4-2974-KR 4GB SC GAMING w/ACX 2.0| Silent Cooling Graphics Card,0
yeston,1699,Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible  RGB light effect Fragrant graphics card,0
GIGABYTE,565.69,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,49.99
GIGABYTE,739.39,GIGABYTE Radeon RX 6600 XT GAMING OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66XTGAMING OC-8GD Video Card,49.99
GIGABYTE,91.6,Gigabyte GeForce GT 710 1GB Graphic Cards and Support PCI Express 2.0 X8 Bus Interface. Graphic Cards GV-N710D5-1GL REV2.0,0
